robots,crates,solved,timed_out,planning_seconds,actions,makespan_s,action_time_s,drive_time_s,peak_concurrency,min_robot_busy_s,max_robot_busy_s
1,2,1,0,0.0127294,17,276.71,276.7,244.7,1,276.7,276.7
2,2,1,0,0.0168827,15,154.105,269.4,237.4,2,115.3,154.1
3,2,1,0,0.0317468,19,154.105,339.2,307.2,3,78.3,154.1
4,2,1,0,0.0317247,15,109.803,254,222,3,0,109.8
1,4,1,0,0.0232803,38,607.623,607.6,543.6,1,607.6,607.6
2,4,1,0,0.0729624,42,391.915,705.3,641.3,2,313.4,391.9
3,4,1,0,0.0607968,41,260.112,654.8,590.8,4,175.3,260.1
4,4,1,0,0.682054,42,208.208,702.9,638.9,4,154.3,208.2
