index,start_s,duration_s,action
0,0,14.364,"(move r3 c_s c_se)"
1,0,18.11,"(move r1 c_e1 bay_e1)"
2,0,27.258,"(move r2 c_n c_w3)"
3,14.365,9.818,"(move r3 c_se bay_e3)"
4,18.111,8,"(pick r1 crate1 bay_e1)"
5,24.184,8,"(pick r3 crate3 bay_e3)"
6,26.111,25.198,"(move r1 bay_e1 c_mid)"
7,27.259,21.182,"(move r2 c_w3 c_w2)"
8,32.184,9.818,"(move r3 bay_e3 c_se)"
9,42.003,14.364,"(move r3 c_se c_s)"
10,48.442,20.11,"(move r2 c_w2 charger)"
11,51.31,16.515,"(move r1 c_mid c_w1)"
12,67.826,23,"(move r1 c_w1 c_sw)"
13,90.827,8,"(move r1 c_sw dock_a)"
14,90.827,8,"(move r2 charger c_w1)"
15,98.827,8,"(drop r1 crate1 dock_a)"
16,98.828,29.036,"(move r2 c_w1 bay_e2)"
17,106.827,8,"(move r1 dock_a c_sw)"
18,114.828,18.334,"(move r3 c_s dock_a)"
19,114.828,12.204,"(move r1 c_sw dock_b)"
20,127.864,8,"(pick r2 crate2 bay_e2)"
21,133.162,8,"(drop r3 crate3 dock_a)"
22,135.864,29.036,"(move r2 bay_e2 c_w1)"
23,141.162,18.334,"(move r3 dock_a c_s)"
24,164.901,23,"(move r2 c_w1 c_sw)"
25,187.902,8,"(move r2 c_sw dock_a)"
26,195.902,8,"(drop r2 crate2 dock_a)"
