index,start_s,duration_s,action
0,0,18.11,"(move r1 c_e1 bay_e1)"
1,0,27.258,"(move r2 c_n c_w3)"
2,18.111,8,"(pick r1 crate1 bay_e1)"
3,26.111,21.182,"(move r1 bay_e1 bay_e2)"
4,27.259,21.182,"(move r2 c_w3 c_w2)"
5,47.294,29.036,"(move r1 bay_e2 c_w1)"
6,48.442,29.551,"(move r2 c_w2 c_e3)"
7,76.331,23,"(move r1 c_w1 c_sw)"
8,77.994,18.11,"(move r2 c_e3 bay_e3)"
9,96.105,8,"(pick r2 crate3 bay_e3)"
10,99.332,12.204,"(move r1 c_sw dock_b)"
11,104.105,9.818,"(move r2 bay_e3 c_se)"
12,113.924,14.364,"(move r2 c_se c_s)"
13,128.289,18.334,"(move r2 c_s dock_a)"
14,146.623,8,"(drop r2 crate3 dock_a)"
15,154.623,8,"(move r2 dock_a c_sw)"
16,162.624,10.727,"(move r1 dock_b dock_a)"
17,162.624,23,"(move r2 c_sw c_w1)"
18,173.351,8,"(drop r1 crate1 dock_a)"
19,181.351,10.727,"(move r1 dock_a dock_b)"
20,185.625,29.036,"(move r2 c_w1 bay_e2)"
21,192.079,12.204,"(move r1 dock_b c_sw)"
22,204.284,13.494,"(move r1 c_sw c_s)"
23,214.661,8,"(pick r2 crate2 bay_e2)"
24,217.779,14.364,"(move r1 c_s c_se)"
25,222.661,29.036,"(move r2 bay_e2 c_w1)"
26,232.144,23,"(move r1 c_se c_e3)"
27,251.698,23,"(move r2 c_w1 c_sw)"
28,274.699,8,"(move r2 c_sw dock_a)"
29,282.699,8,"(drop r2 crate2 dock_a)"
