wall_time_s,completed_actions,total_actions,running
0.000133311,0,30,0
0.500264,0,30,0
1.00034,0,30,0
1.50031,0,30,1
2.00036,0,30,2
2.50058,0,30,2
3.00054,0,30,2
3.50046,0,30,2
4.00045,0,30,2
4.5005,0,30,2
5.00044,0,30,2
5.50072,0,30,2
6.00042,0,30,2
6.50038,0,30,2
7.0006,0,30,2
7.50283,0,30,2
8.00034,0,30,2
8.50037,0,30,2
9.00031,0,30,2
9.50027,0,30,2
10.0004,0,30,2
10.5004,0,30,2
11.0004,0,30,2
11.5003,0,30,2
12.0003,0,30,2
12.5003,0,30,2
13.0003,0,30,2
13.5003,0,30,2
14.0003,0,30,2
14.5003,0,30,2
15.0003,0,30,2
15.5003,0,30,2
16.0003,0,30,2
16.5003,0,30,2
17.0004,0,30,2
17.5003,0,30,2
18.0003,0,30,2
18.5005,0,30,2
19.0006,0,30,2
19.5004,1,30,2
20.0003,1,30,2
20.5004,1,30,2
21.0004,1,30,2
21.5003,1,30,2
22.0003,1,30,2
22.5003,1,30,2
23.0003,1,30,2
23.5004,1,30,2
24.0004,1,30,2
24.5003,1,30,2
25.0003,1,30,2
25.5004,1,30,2
26.0003,1,30,2
26.5003,1,30,2
27.0003,1,30,2
27.5003,1,30,2
28.0003,2,30,2
28.5003,2,30,2
29.0003,2,30,2
29.5003,3,30,2
30.0003,3,30,2
30.5004,3,30,2
31.0003,3,30,2
31.5003,3,30,2
32.0003,3,30,2
32.5004,3,30,2
33.0003,3,30,2
33.5004,3,30,2
34.0003,3,30,2
34.5003,3,30,2
35.0003,3,30,2
35.5003,3,30,2
36.0003,3,30,2
36.5003,3,30,2
37.0003,3,30,2
37.5004,3,30,2
38.0003,3,30,2
38.5004,3,30,2
39.0003,3,30,2
39.5004,3,30,2
40.0004,3,30,2
40.5005,3,30,2
41.0005,3,30,2
41.5006,3,30,2
42.0003,3,30,2
42.5003,3,30,2
43.0003,3,30,2
43.5003,3,30,2
44.0003,3,30,2
44.5004,3,30,2
45.0003,3,30,2
45.5004,3,30,2
46.0004,3,30,2
46.5004,3,30,2
47.0003,4,30,2
47.5003,4,30,2
48.0004,5,30,2
48.5003,5,30,2
49.0004,5,30,2
49.5003,5,30,2
50.0003,5,30,2
50.5003,5,30,2
51.0003,5,30,2
51.5003,5,30,2
52.0003,5,30,2
52.5003,5,30,2
53.0003,5,30,2
53.5003,5,30,2
54.0003,5,30,2
54.5003,5,30,2
55.0003,5,30,2
55.5003,5,30,2
56.0003,5,30,2
56.5004,5,30,2
57.0003,5,30,2
57.5009,5,30,2
58.0003,5,30,2
58.5003,5,30,2
59.0003,5,30,2
59.5003,5,30,2
60.0003,5,30,2
60.5003,5,30,2
61.0003,5,30,2
61.5003,5,30,2
62.0003,5,30,2
62.5004,5,30,2
63.0003,5,30,2
63.5003,5,30,2
64.0003,5,30,2
64.5003,5,30,2
65.0006,5,30,2
65.5004,5,30,2
66.0003,5,30,2
66.5003,5,30,2
67.0003,5,30,2
67.5003,5,30,2
68.0003,5,30,2
68.5003,5,30,2
69.0003,5,30,2
69.5004,5,30,2
70.0004,5,30,2
70.5003,5,30,2
71.0004,5,30,2
71.5003,5,30,2
72.0003,5,30,2
72.5003,5,30,2
73.0003,5,30,2
73.5003,5,30,2
74.0003,5,30,2
74.5003,5,30,2
75.0003,5,30,2
75.5003,6,30,2
76.0003,7,30,2
76.5003,7,30,2
77.0003,7,30,2
77.5003,7,30,2
78.0003,7,30,2
78.5003,7,30,2
79.0003,7,30,2
79.5003,7,30,2
80.0003,7,30,2
80.5003,7,30,2
81.0003,7,30,2
81.5003,7,30,2
82.0003,7,30,2
82.5003,7,30,2
83.0003,7,30,2
83.5003,7,30,2
84.0003,7,30,2
84.5003,7,30,2
85.0003,7,30,2
85.5003,7,30,2
86.0004,7,30,2
86.5006,7,30,2
87.0004,7,30,2
87.5025,7,30,2
88.0006,7,30,2
88.5003,7,30,2
89.0004,7,30,2
89.5003,7,30,2
90.0005,7,30,2
90.5003,7,30,2
91.0003,7,30,2
91.5003,7,30,2
92.0003,7,30,2
92.5003,7,30,2
93.0004,8,30,2
93.5003,8,30,2
94.0003,8,30,2
94.5003,8,30,2
95.0004,8,30,2
95.5006,8,30,2
96.0004,8,30,2
96.5004,8,30,2
97.0004,9,30,2
97.5003,9,30,2
98.0003,9,30,2
98.5005,9,30,2
99.0003,9,30,2
99.5004,9,30,2
100,9,30,2
100.5,9,30,2
101,10,30,1
101.5,10,30,2
102,10,30,2
102.5,10,30,2
103,10,30,2
103.5,10,30,2
104,10,30,2
104.5,10,30,2
105,10,30,2
105.5,10,30,2
106,10,30,2
106.5,10,30,2
107,10,30,2
