wall_time_s,completed_actions,total_actions,running
0.000130018,0,26,0
0.500284,0,26,0
1.00024,0,26,0
1.50025,0,26,0
2.00026,0,26,1
2.50027,0,26,1
3.00027,0,26,1
3.50025,0,26,1
4.00037,0,26,1
4.5004,0,26,1
5.00028,0,26,1
5.50026,0,26,1
6.0003,0,26,1
6.5003,0,26,1
7.00033,0,26,1
7.50025,0,26,1
8.00042,0,26,1
8.50027,0,26,1
9.0004,0,26,1
9.50035,0,26,1
10.0003,0,26,1
10.5003,0,26,1
11.0003,0,26,1
11.5003,0,26,1
12.0003,0,26,1
12.5003,0,26,1
13.0003,0,26,1
13.5003,0,26,1
14.0003,0,26,1
14.5002,0,26,1
15.0003,0,26,1
15.5003,0,26,1
16.0003,0,26,1
16.5003,0,26,1
17.0002,0,26,1
17.5003,0,26,1
18.0003,0,26,1
18.5002,0,26,1
19.0003,0,26,1
19.5003,1,26,0
20.0003,1,26,1
20.5002,1,26,1
21.0002,1,26,1
21.5003,1,26,1
22.0003,1,26,1
22.5003,1,26,1
23.0003,1,26,1
23.5002,1,26,1
24.0003,1,26,1
24.5003,1,26,1
25.0003,1,26,1
25.5002,1,26,1
26.0003,1,26,1
26.5003,1,26,1
27.0003,1,26,1
27.5004,1,26,1
28.0003,1,26,1
28.5003,1,26,1
29.0003,1,26,1
29.5003,1,26,1
30.0003,1,26,1
30.5003,1,26,1
31.0003,1,26,1
31.5004,1,26,1
32.0003,1,26,1
32.5005,1,26,1
33.0003,1,26,1
33.5003,1,26,1
34.0005,1,26,1
34.5002,1,26,1
35.0003,1,26,1
35.5003,1,26,1
36.0004,1,26,1
36.5003,1,26,1
37.0004,1,26,1
37.5003,1,26,1
38.0003,1,26,1
38.5003,2,26,1
39.0003,2,26,1
39.5004,2,26,1
40.0004,2,26,1
40.5003,2,26,1
41.0003,2,26,1
41.5003,2,26,1
42.0003,2,26,1
42.5002,2,26,1
43.0003,2,26,1
43.5003,2,26,1
44.0002,2,26,1
44.5003,2,26,1
45.0003,2,26,1
45.5003,2,26,1
46.0002,2,26,1
46.5002,3,26,1
47.0003,3,26,1
47.5002,3,26,1
48.0003,3,26,1
48.5002,3,26,1
49.0002,3,26,1
49.5003,3,26,1
50.0003,3,26,1
50.5002,3,26,1
51.0002,3,26,1
51.5003,3,26,1
52.0003,3,26,1
52.5002,3,26,1
53.0003,3,26,1
53.5002,3,26,1
54.0003,3,26,1
54.5004,3,26,1
55.0003,3,26,1
55.5003,3,26,1
56.0002,3,26,1
56.5003,3,26,1
57.0002,3,26,1
57.5002,3,26,1
58.0003,3,26,1
58.5003,3,26,1
59.0003,3,26,1
59.5003,3,26,1
60.0002,3,26,1
60.5003,3,26,1
61.0003,3,26,1
61.5002,3,26,1
62.0002,3,26,1
62.5003,3,26,1
63.0003,3,26,1
63.5002,3,26,1
64.0002,3,26,1
64.5002,3,26,1
65.0002,3,26,1
65.5002,3,26,1
66.0003,3,26,1
66.5003,3,26,1
67.0002,3,26,1
67.5002,3,26,1
68.0002,3,26,1
68.5002,3,26,1
69.0002,3,26,1
69.5003,3,26,1
70.0002,3,26,1
70.5003,3,26,1
71.0003,3,26,1
71.5003,3,26,1
72.0003,3,26,1
72.5004,3,26,1
73.0004,3,26,1
73.5003,3,26,1
74.0003,3,26,1
74.5004,3,26,1
75.0003,4,26,1
75.5003,4,26,1
76.0003,4,26,1
76.5003,4,26,1
77.0005,4,26,1
77.5003,4,26,1
78.0003,4,26,1
78.5003,4,26,1
79.0002,4,26,1
79.5003,4,26,1
80.0002,4,26,1
80.5003,4,26,1
81.0003,4,26,1
81.5002,4,26,1
82.0002,4,26,1
82.5002,4,26,1
83.0002,4,26,1
83.5002,4,26,1
84.0002,4,26,1
84.5002,4,26,1
85.0003,4,26,1
85.5003,4,26,1
86.0004,4,26,1
86.5003,4,26,1
87.0003,4,26,1
87.5004,4,26,1
88.0003,4,26,1
88.5003,4,26,1
89.0003,4,26,1
89.5003,4,26,1
90.0003,4,26,1
90.5003,4,26,1
91.0003,4,26,1
91.5003,4,26,1
92.0003,4,26,1
92.5003,4,26,1
93.0003,4,26,1
93.5003,4,26,1
94.0003,4,26,1
94.5003,4,26,1
95.0003,4,26,1
95.5003,4,26,1
96.0003,4,26,1
96.5003,5,26,1
97.0003,5,26,1
97.5003,5,26,1
98.0003,5,26,1
98.5003,5,26,1
99.0003,5,26,1
99.5003,5,26,1
100,5,26,1
100.5,5,26,1
101,5,26,1
101.5,5,26,1
102,5,26,1
102.5,5,26,1
103,6,26,1
103.5,6,26,1
104,6,26,1
104.5,6,26,1
105,6,26,1
105.5,6,26,1
106,6,26,1
106.5,6,26,1
107,6,26,1
107.5,6,26,1
108,6,26,1
108.5,6,26,1
109,6,26,1
109.5,6,26,1
110,6,26,1
110.5,6,26,1
111,7,26,1
111.5,7,26,1
112,7,26,1
112.5,7,26,1
113,7,26,1
113.5,7,26,1
114,7,26,1
114.5,7,26,1
115,7,26,1
115.5,7,26,1
116,7,26,1
116.5,7,26,1
117,7,26,1
117.5,7,26,1
118,7,26,1
118.5,7,26,1
119,7,26,1
119.5,7,26,1
120,7,26,1
120.5,7,26,1
121,7,26,1
121.5,7,26,1
122,7,26,1
122.5,7,26,1
123,7,26,1
123.5,7,26,1
124,7,26,1
124.5,7,26,1
125,7,26,1
125.5,7,26,1
126,7,26,1
126.5,7,26,1
127,7,26,1
127.5,7,26,1
128,7,26,1
128.5,7,26,1
129,8,26,1
129.5,8,26,1
130,8,26,1
130.5,8,26,1
131,8,26,1
131.5,8,26,1
132,8,26,1
132.5,8,26,1
133,8,26,1
133.5,8,26,1
134,8,26,1
134.5,8,26,1
135,8,26,1
135.5,8,26,1
136,8,26,1
136.5,8,26,1
137,8,26,1
137.5,8,26,1
138,8,26,1
138.5,8,26,1
139,8,26,1
139.5,8,26,1
140,8,26,1
140.5,8,26,1
141,8,26,1
141.5,8,26,1
142,9,26,1
142.5,9,26,1
143,9,26,1
143.5,9,26,1
144,9,26,1
144.5,9,26,1
145,9,26,1
145.5,9,26,1
146,9,26,1
146.5,9,26,1
147,9,26,1
147.5,9,26,1
148,9,26,1
148.5,9,26,1
149,9,26,1
149.5,9,26,1
150,9,26,1
150.5,10,26,1
151,10,26,1
151.5,10,26,1
152,10,26,1
152.5,10,26,1
153,10,26,1
153.5,10,26,1
154,10,26,1
154.5,10,26,1
155,10,26,1
155.5,10,26,1
156,10,26,1
156.5,10,26,1
157,10,26,1
157.5,10,26,1
158,10,26,1
158.5,11,26,1
159,11,26,1
159.5,11,26,1
160,11,26,1
160.5,11,26,1
161,11,26,1
161.5,11,26,1
162,11,26,1
162.5,11,26,1
163,11,26,1
163.5,11,26,1
164,11,26,1
164.5,11,26,1
165,11,26,1
165.5,11,26,1
166,11,26,1
166.5,11,26,1
167,11,26,1
167.5,11,26,1
168,11,26,1
168.5,11,26,1
169,11,26,1
169.5,11,26,1
170,11,26,1
170.5,11,26,1
171,11,26,1
171.5,11,26,1
172,11,26,1
172.5,11,26,1
173,11,26,1
173.5,11,26,1
174,11,26,1
174.5,11,26,1
175,11,26,1
175.5,11,26,1
176,11,26,1
176.5,11,26,1
177,11,26,1
177.5,11,26,1
178,11,26,1
178.5,11,26,1
179,11,26,1
179.5,11,26,1
180,11,26,1
180.5,11,26,1
181,11,26,1
181.5,11,26,1
182,12,26,1
182.5,12,26,1
183.001,12,26,1
183.5,12,26,1
184.001,12,26,1
184.5,12,26,1
185,12,26,1
185.5,12,26,1
186,12,26,1
186.5,12,26,1
187,12,26,1
187.5,12,26,1
188,12,26,1
188.5,12,26,1
189,12,26,1
189.5,12,26,1
190,12,26,1
190.5,12,26,1
191,12,26,1
191.5,12,26,1
192,12,26,1
192.5,12,26,1
193,12,26,1
193.5,12,26,1
194,12,26,1
194.5,12,26,1
195,12,26,1
