wall_time_s,completed_actions,total_actions,running
0.000154761,0,27,0
0.50025,0,27,0
1.00034,0,27,0
1.50029,0,27,1
2.00037,0,27,2
2.50031,0,27,2
3.00031,0,27,2
3.50031,0,27,2
4.00033,0,27,2
4.50029,0,27,2
5.00034,0,27,2
5.50046,0,27,2
6.00048,0,27,2
6.50046,0,27,2
7.00032,0,27,2
7.50034,0,27,2
8.00043,0,27,2
8.50029,0,27,2
9.00027,0,27,2
9.50031,0,27,2
10.0003,0,27,2
10.5004,0,27,2
11.0004,0,27,2
11.5003,0,27,2
12.0003,0,27,2
12.5004,0,27,2
13.0004,0,27,2
13.5003,0,27,2
14.0003,0,27,2
14.5005,1,27,2
15.0003,1,27,2
15.5003,1,27,2
16.0004,1,27,2
16.5004,1,27,2
17.0004,1,27,2
17.5003,1,27,2
18.0004,1,27,2
18.5004,1,27,2
19.0004,1,27,2
19.5004,1,27,2
20.0005,1,27,2
20.5006,1,27,2
21.0004,1,27,2
21.5005,1,27,2
22.0004,1,27,2
22.5005,1,27,2
23.0004,1,27,2
23.5004,1,27,2
24.0004,1,27,2
24.5004,1,27,2
25.0003,2,27,2
25.5004,2,27,2
26.0006,2,27,2
26.5004,2,27,2
27.0006,2,27,2
27.5003,2,27,2
28.0004,2,27,2
28.5003,2,27,2
29.0004,2,27,2
29.5003,2,27,2
30.0004,2,27,2
30.5003,2,27,2
31.0004,2,27,2
31.5004,2,27,2
32.0004,2,27,2
32.5004,2,27,2
33.0005,3,27,2
33.5005,3,27,2
34.0004,3,27,2
34.5004,4,27,2
35.0003,4,27,2
35.5004,4,27,2
36.0004,4,27,2
36.5003,4,27,2
37.0003,4,27,2
37.5004,4,27,2
38.0003,4,27,2
38.5004,4,27,2
39.0004,4,27,2
39.5003,4,27,2
40.0003,4,27,2
40.5003,4,27,2
41.0004,4,27,2
41.5003,4,27,2
42.0004,4,27,2
42.5004,4,27,2
43.0003,4,27,2
43.5003,4,27,2
44.0003,6,27,3
44.5004,6,27,3
45.0003,6,27,3
45.5005,6,27,3
46.0004,6,27,3
46.5004,6,27,3
47.0003,6,27,3
47.5007,6,27,3
48.0004,6,27,3
48.5003,6,27,3
49.0005,6,27,3
49.5003,6,27,3
50.0004,6,27,3
50.5005,6,27,3
51.0005,6,27,3
51.5013,6,27,3
52.0006,6,27,3
52.5003,6,27,3
53.0004,6,27,3
53.5005,6,27,3
54.0003,6,27,3
54.5003,6,27,3
55.0004,6,27,3
55.5003,6,27,3
56.0003,6,27,3
56.5003,6,27,3
57.0003,6,27,3
57.5003,6,27,3
58.0003,6,27,3
58.5003,6,27,3
59.0003,7,27,3
59.5004,7,27,3
60.0005,7,27,3
60.5004,7,27,3
61.0004,7,27,3
61.5003,8,27,3
62.0004,8,27,3
62.5003,8,27,3
63.0003,8,27,3
63.5004,9,27,3
64.0003,9,27,3
64.5003,9,27,3
65.0003,9,27,3
65.5004,9,27,3
66.0003,9,27,3
66.5003,9,27,3
67.0004,9,27,3
67.5003,9,27,3
68.0004,9,27,3
68.5004,9,27,3
69.0005,9,27,3
69.5005,9,27,3
70.0004,10,27,3
70.5005,10,27,3
71.0004,10,27,3
71.5004,11,27,3
72.0003,11,27,3
72.5003,11,27,3
73.0004,11,27,3
73.5003,11,27,3
74.0003,11,27,3
74.5003,11,27,3
75.0003,11,27,3
75.5003,11,27,3
76.0003,11,27,3
76.5003,11,27,3
77.0003,11,27,3
77.5004,11,27,3
78.0005,12,27,3
78.5005,12,27,3
79.0004,12,27,3
79.5003,12,27,3
80.0004,12,27,3
80.5005,13,27,3
81.0004,13,27,3
81.5003,13,27,3
82.0004,13,27,3
82.5003,13,27,3
83.0003,13,27,3
83.5003,13,27,3
84.0004,13,27,3
84.5004,13,27,3
85.0003,13,27,3
85.5004,13,27,3
