index,start_s,duration_s,action
0,0,29.602,"(move r4 c_w2 bay_e1)"
1,0,14.364,"(move r3 c_s c_se)"
2,14.365,9.818,"(move r3 c_se bay_e3)"
3,24.184,8,"(pick r3 crate3 bay_e3)"
4,29.603,9.115,"(move r4 bay_e1 c_e2)"
5,32.184,9.818,"(move r3 bay_e3 c_se)"
6,38.719,18.11,"(move r1 c_e1 bay_e1)"
7,38.719,17.237,"(move r4 c_e2 bay_e2)"
8,42.003,14.364,"(move r3 c_se c_s)"
9,55.956,8,"(pick r4 crate2 bay_e2)"
10,56.368,18.334,"(move r3 c_s dock_a)"
11,56.829,8,"(pick r1 crate1 bay_e1)"
12,63.956,11.344,"(move r4 bay_e2 c_e3)"
13,64.829,25.198,"(move r1 bay_e1 c_mid)"
14,74.702,8,"(drop r3 crate3 dock_a)"
15,75.301,23,"(move r4 c_e3 c_se)"
16,82.702,8,"(move r3 dock_a c_sw)"
17,90.028,16.515,"(move r1 c_mid c_w1)"
18,90.703,8,"(move r3 c_sw dock_a)"
19,98.302,14.364,"(move r4 c_se c_s)"
20,98.704,10.727,"(move r3 dock_a dock_b)"
21,106.544,23,"(move r1 c_w1 c_sw)"
22,112.667,18.334,"(move r4 c_s dock_a)"
23,131.001,8,"(drop r4 crate2 dock_a)"
24,139.001,18.334,"(move r4 dock_a c_s)"
25,157.336,8,"(move r1 c_sw dock_a)"
26,165.336,8,"(drop r1 crate1 dock_a)"
